Reviews,Dates
Very good,21 December 2018
it become repaired in two months and it become difficult to give in service centre,21 December 2018
worst product within one month not working  properly controll pannel changes temp automatically don't buy at all,21 December 2018
"Very useful product. It's been two months now, no problems yet",20 December 2018
👌,20 December 2018
Not working properly,20 December 2018
"I have use this product last 20 days. No issue , good product.",20 December 2018
Good Product as mentioned........Anybody can buy...,20 December 2018
It's been almost an year and all good..,20 December 2018
Very nice product and cooking properly,19 December 2018
Worst productDamaged peice,19 December 2018
"Perfect product, and it's just as described. Received it in perfect condition (thank you Amazon) and love the company. It's working excellent and the fan usually takes a long time to turn off automatically after use, but this works really fast.",18 December 2018
It is very helpful,18 December 2018
good product,18 December 2018
The best product,18 December 2018
Good product 👍,17 December 2018
Best,17 December 2018
Please don't buy this it stopped working completely after one day,17 December 2018
I’ve received a damaged product.,17 December 2018
No problem yet. Working perfectly,17 December 2018
Very easy to use... Quality product,17 December 2018
I received this product which is not working... worst experience...,16 December 2018
Good,16 December 2018
"The power button is very weak, seems like damaged in 3months of use. I doubt it's original product. I don't recommend this product.",16 December 2018
Superb,16 December 2018
Error in the display of induction......,16 December 2018
It's good,16 December 2018
Good,15 December 2018
I most like dis product .....good function ..good work ...bettrr quality........easy to use .esay process ...h a p p y,15 December 2018
"Its not even a year now,i purchased two inductions(same model),& its 2nd time that both are down.I called service centre 2weeks earlier but no response till now.",15 December 2018
Good and very easy,15 December 2018
Easy to useValue of money,15 December 2018
Very Good Product,14 December 2018
Nice product,14 December 2018
It's good,14 December 2018
Good,14 December 2018
must buy product one should buy without a second thought.....,14 December 2018
should use flipkart for shopping. Not fresh product and supplied after repair.,14 December 2018
Nice one,13 December 2018
"Well,I m using it .it is affordable and easy to cook. It's plastic is also too good.",13 December 2018
This induction is value for money andEasy to use.This product is amazing.In this induction all mode is very easy to use.,13 December 2018
Machine work good,13 December 2018
Good,13 December 2018
Durable and easy to use. Recommended!,13 December 2018
Item has stopped working within 6months,12 December 2018
very good product.Easy to use.,12 December 2018
I like,12 December 2018
Nice product,12 December 2018
Good,12 December 2018
Nice product!!,12 December 2018
Good product,11 December 2018
Like it,11 December 2018
Totally damaged,11 December 2018
It's not working only worked a day,11 December 2018
Super,11 December 2018
Wonderful Purchase. One of best Product at a very cheap price.,10 December 2018
Good product very easy,10 December 2018
nice,10 December 2018
Good,10 December 2018
Nice product,10 December 2018
"Easy to clean, easy to use and low cost.",9 December 2018
It's very good product,9 December 2018
Excellent product  thanks for amazon team,9 December 2018
Ok,9 December 2018
Poor item not working properly,9 December 2018
Nice product,9 December 2018
Good,8 December 2018
Great product for price charged,8 December 2018
Superb product,8 December 2018
Like,8 December 2018
Good product,7 December 2018
Good product at this range,7 December 2018
"Nice product, very useful for when gas stoves not available",7 December 2018
Nice product,7 December 2018
Love,6 December 2018
Ok over heat come out,6 December 2018
Fantastic work at lower voltage fully automatic,6 December 2018
"selection buttons are properly working.  '-' or '+' buttons are not operating.  can use only for water boiling.Is there any provision for service, request you to send some one to rectify the same.",6 December 2018
This item is creak,6 December 2018
Nice,6 December 2018
Nice product !!Easy to useEasy to cleanThe only cons is you need induction utencils to cook on it.,6 December 2018
Best product in this budget. Very Easy to use.,5 December 2018
"it stopped working after using 30 days, called prestige several time but their response was worst.",5 December 2018
Nice,5 December 2018
Stops working.. Only fan keeps rolling,5 December 2018
Very good product,5 December 2018
This product makes cooking such a easy process. use gas stove is reduced much. I can’t comment on Durability at present,5 December 2018
Very nice,4 December 2018
Was broken into pcs when I rcvd.,4 December 2018
Good,4 December 2018
Worth of buying,4 December 2018
Love it,3 December 2018
Easy to use,3 December 2018
Good product,3 December 2018
Warranty card is filled by dealer and it should completely signed by dealer. How I claim for warranty in future?,3 December 2018
Service slow,3 December 2018
Good,3 December 2018
Easy to use cook top,3 December 2018
It's a new product thank you amazon.in best induction pigon,3 December 2018
Nothing,2 December 2018
Nice,2 December 2018
Great product ...easy to use and clean.gud design n comfortable in using...,1 December 2018
Good product,1 December 2018
"The Induction top worked fine for only 3-4 hrs and then started tripping the MCB indicating some electrical shorting. The Induction Top was replaced on 3rd December 18 and again on 18th, the top does not work. This time, the soft touch ON button does not respond. The Quality of Prestige is going down. Had been buying Prestige based on experience of one top bought in 2012..which worked fine for 5 Years",1 December 2018
Really easy to useGood working...,1 December 2018
Worth buying product,1 December 2018
Good,1 December 2018
excellent,1 December 2018
It super induction stove cost is reasonable but  heating take more time because it is 1200watt but over all its okay,1 December 2018
Thik thak hai,1 December 2018
Easy to use and clean looks very nice in kitchen,30 November 2018
Nice product,30 November 2018
My product become damaged in 20 days.within 20 days.it stops working.,30 November 2018
"Worst product, flag was started burning within 16 days",30 November 2018
Easy to use but pause /resume button missing,30 November 2018
Original product is gud but I ordered it when there discount but it was some what damage,30 November 2018
It is getting off frequantly after 10-15 min.,29 November 2018
I like ths product thku amazon,29 November 2018
Happy wid product,29 November 2018
It's outer plastic layer is cracked in just few days.i'm very disappointed from this malfunction of product.,29 November 2018
This is an amazing product.light weight is the special think.very easy to shift.i like this product very much. I will refer to my friends,29 November 2018
Very Nice good going.,29 November 2018
"ts a very user-friendly, There is a good Control Panel - Push button for all types of Indian foods. NO EXTRA Training Needed to operate.Durability is looks awesome. This induction comes with 1 Yr. warranty, but I think its a one-time investment. No heating problem and less electricity consumption: Voltage: 230V; Wattage: 1200W.It works only with Induction base cookware - bottom diameter between around 12cm-26cmIts style is good and handy, you can easily carry in traveling also, because of its lite weight.Being a user of this prestige induction. I am suggesting to all of you, You can purchase this induction, without any worry.",29 November 2018
Compare to rate its very good product.,28 November 2018
My granny is happy with this product,28 November 2018
Very good product,28 November 2018
Good product,28 November 2018
It's ok,28 November 2018
I had to return the package coz when we opened the box it was all broken so have placed a new order hope so will get better now,28 November 2018
Very good product,28 November 2018
It's useless,27 November 2018
if you want to buy induction for small period or if you are bachelor this is kk because i had already purchase prestige induction online in 2016  and its time period is 2016-2018 now it  doesn't repaired useless induction... this is my 2nd induction n working good .. speed is slow .. but if you are 1 or 2 person then this is good for you ...,27 November 2018
It difficult to clean oil,27 November 2018
Using from last 1 year. Working excellent,27 November 2018
Its been 2.5 years not a scratch.,27 November 2018
Thanks so much for Amazon,26 November 2018
Good,26 November 2018
My cooktop is not working now...its just 6 months are over....and also it is under the warrenty period...how can i get it repaired?,26 November 2018
"The product packaging and delivery were good.product is as expected, and we have been using it for last 4 months wth no issue.light weight,easy to clean.",26 November 2018
Good product,26 November 2018
"I am using this induction since one year and it is working amazing and it makes my cooking easier and faster. Here, people are complaining about the cooking surface that it is coming out just make sure it is not overly heated. All and all I am satisfied and worth money.",25 November 2018
Nice induction cooker. Easy to use,25 November 2018
Very much dissapointed. The cook top was broken.,25 November 2018
"The product got complaint, not durable.",25 November 2018
Nice product . I am using it from 2/3 weeks . Till now it is working well,25 November 2018
Great,25 November 2018
Quality,25 November 2018
Good product,25 November 2018
The product stopped working within a month..no response from the company,25 November 2018
i like it...,24 November 2018
Ok,24 November 2018
It's a very good product.woriking nice ...,24 November 2018
Its very good,24 November 2018
Easy to use,24 November 2018
Easy n usefull.. good build quality,24 November 2018
Value for money. Good.,24 November 2018
Power button is hard to press.,24 November 2018
Power not coming.  MCB trips.,23 November 2018
Nice,23 November 2018
Good Product. As described it's accurate in its work. Good quality and value for money,23 November 2018
Got defective product,23 November 2018
Good quality,23 November 2018
Good,23 November 2018
Good product... works well....,23 November 2018
Good product,22 November 2018
Only ten days worked. Afterwards onwards not oning only. Prestige customer care very worst service. Totally money wasted. Plz dont buy,22 November 2018
nice,22 November 2018
"Working correctly, just bought it 1 Month ago",22 November 2018
Very nice to use...........,22 November 2018
Easy to use.Durable.,22 November 2018
Nice,22 November 2018
👍🏻,21 November 2018
Nice,21 November 2018
I like it,21 November 2018
Timely delivered and perfect,21 November 2018
Sometimes it doesn't work,21 November 2018
It was really nice product. ...,21 November 2018
Easy to use,21 November 2018
Induction bottam to provide high label....,21 November 2018
Awesome,21 November 2018
nice,21 November 2018
"The ON/ OFF button did not work at all. While I was able to operate the unit using Timer function, it is disappointing that basic checks are not being made/ faulty products are being pushed in online channels.Returned the product and refund initiated. Shifting to traditional retail for this now.",21 November 2018
Best that i bought so far,20 November 2018
dead after using 5 month,20 November 2018
good,20 November 2018
Worst product it's not been one month and it is not working now please don't buy this.,20 November 2018
Good👍👍👍👍,20 November 2018
Good,20 November 2018
A very nice product for bachelor's...and also for house wife for limited use...,20 November 2018
Overall product is good,20 November 2018
Not happy,19 November 2018
Good  product,19 November 2018
nice product.,19 November 2018
Good,19 November 2018
It's OK for low saute type cooking but not at all appropriate for high or medium heat cooking,19 November 2018
"This can be used for small and longtime cooking. The buttons are hard to to press, still usable.",18 November 2018
very easy to use,18 November 2018
It works absolutely fine. Easy to use and compact.,18 November 2018
Best material easy to clean and maintenance.,18 November 2018
It's a good product.,18 November 2018
Good,18 November 2018
verry nice product,18 November 2018
Easy to use,18 November 2018
As expected,18 November 2018
It's ok Product,18 November 2018
good product,18 November 2018
Jhakasssssses h,18 November 2018
Good for kitchen,18 November 2018
"Not bad, good at it's price",18 November 2018
Good product.working fine..,17 November 2018
"No complaints. Cheaper ones were available but paid the extra bugs for a great, durable and long lasting product. I'd say it's the best induction stove in the market. Dosa takes time but that's okay because it comes out good.",17 November 2018
Easy to use,17 November 2018
Demag,17 November 2018
Ease handle,17 November 2018
good for daily use,17 November 2018
Didn't even reach intact to me!What to comment on durability!Improve on this,17 November 2018
I have already purchased it once but not from amazon.And this is my 2nd purchasePrestige is always the best for kitchen.Damn good product.Fits in the budget.Worth the price,17 November 2018
Good product,17 November 2018
Good product,16 November 2018
Nice product,16 November 2018
Gr888888888 Product,16 November 2018
Good product,16 November 2018
I have been using it since last two year. This is the second time I am ordered this.  1st one is at my Home that still in use. 2nd one I am using as I live some other place.Easy to Use.Best at this Range.,16 November 2018
Takes too much time and electricity,16 November 2018
Its only 2 month and its gets fault and its not getting start.,15 November 2018
Good till today,15 November 2018
Woth buying,15 November 2018
Awesome value for money very usefulLess heat in kitchenNo pulution,15 November 2018
good product easy use thank you Amazon,15 November 2018
User friendly,15 November 2018
Showing overheating error within 1min of use with proper induction utensil,15 November 2018
Good product,15 November 2018
Awesome product,14 November 2018
Awesome,14 November 2018
Good product,14 November 2018
I Like It,14 November 2018
Good product... Easy to handle,14 November 2018
Best product,14 November 2018
The product is really good and easy to use and requiring less space..,14 November 2018
Price worthy... Good for use,14 November 2018
it's looks very good product.and also easy to use and cleaning.it's look small size. so we can Carry that everywhere. and a tiny noise when we switch on it.,14 November 2018
I like this product.,14 November 2018
"Worst, I had ordered this product but when it came n as I on it,  go to see it was not working only",13 November 2018
Very good,13 November 2018
Product is damaged temperature sensor error E2,13 November 2018
Very bad item didn't work for an hour poor working conditions....,13 November 2018
Good and easy to use...thanks amazon,13 November 2018
The product is awesome after use one year,13 November 2018
very good product under this price range,13 November 2018
I like it,13 November 2018
nice product,13 November 2018
Easy handling.Good product,13 November 2018
Awesome in this price range. Go for it.,13 November 2018
"Easy to use. I can prepare curry, rice with this. Very light weight. Easy to clean. Overall I think it deserves 4.5 star.",12 November 2018
Good,12 November 2018
Nyc product,12 November 2018
Awesome,12 November 2018
"Durability, easy to use, light weight",12 November 2018
Easy to use,12 November 2018
Very Good,12 November 2018
Power cable should be little long,11 November 2018
Very good product. Using it for last 2 years. Easy to use and clean.,11 November 2018
Good one. Used for 1week.,11 November 2018
Works like a CharmMultiple Wattage settings300 watts is best for boiling milkBuy it and make happy maggie!,11 November 2018
Very easy to use,11 November 2018
"Product broken with in 2 months of use,  called service center but no responses till yet",11 November 2018
Screen is broken,11 November 2018
Broken item delivered,11 November 2018
A good product. Recommend to buy it.,11 November 2018
Nice product . I recommend it,11 November 2018
Good product from prestige at lowest price,11 November 2018
Frequently failure of press buttons,11 November 2018
Return this product,11 November 2018
Easy to use and saves energy.,11 November 2018
The product is good and its working efficiency is marvellous ...,11 November 2018
This is very comfortable product very easy to cook,11 November 2018
It is ok product,10 November 2018
Good price for such a good product,10 November 2018
Good price. Good product,10 November 2018
Not working at all..worst,10 November 2018
Good,10 November 2018
Good but it sparked inside yesterday and it is dead now i want to service how to do it ?,10 November 2018
I liked the product very much,10 November 2018
Good,10 November 2018
I LIKE IT,10 November 2018
Very good,9 November 2018
Light weight,9 November 2018
"Please don't buy .Trust me, it stopped working after 2 weeks.And no refund or return.",9 November 2018
Worst product don't buy online.,9 November 2018
So far am using it without any issues,9 November 2018
Fantastic product. Expect little bit better packing from amazon. But its ok nice..... thank you,9 November 2018
Nice product for daily using for mens,9 November 2018
"The product that I got was broken, I couldn’t open the package since there was glass coming out and since I was out of town, I got back and tried to return it only to find that the returning window is closed. Kindly help!",9 November 2018
Awesome,9 November 2018
Lightt weight,9 November 2018
Nothing,9 November 2018
easy to operate.,9 November 2018
Nice,9 November 2018
Product is good,9 November 2018
Good product,9 November 2018
Working well for preparing 4 litres of tea twice a day in a big flat bottom bowl.,9 November 2018
For bachelor's room it is more than sufficient,8 November 2018
Everthing was fine...,8 November 2018
Very good,8 November 2018
"This product is not working ,, Rating is 00000",8 November 2018
Good,8 November 2018
"Good side is Temoarature can be  adjusted to 60 w, 70w, 100w, 180, 160,120, 200, 300,500,800,1100,1000, and 1200.But the device moves on kitchen counter easily.",8 November 2018
Nyc product by prestige,8 November 2018
Loved the beautiful design and it's light weight and easy functionality..a must try for all aged persons..can be used safely,8 November 2018
Nice products great quality,8 November 2018
Good product,8 November 2018
It’s a good product,8 November 2018
Nice product at reasonable cost. But many induction based Tawa not working with it.,8 November 2018
good,7 November 2018
Not working at all. It's not getting switched ON. I opened it after return date has expired. What to do.,7 November 2018
Good,7 November 2018
After trying various vessel it nly suitable for 1 or 2.I say it is useless.,7 November 2018
The material seems to be very light,7 November 2018
Good Purchase,7 November 2018
i buy this product  but its working onemonth last two day its not working please raplace are repair what s the solutions please reply me thank u,7 November 2018
4 out of 5,7 November 2018
Good,7 November 2018
Good one,7 November 2018
Very cheep quality. On and off switch & timer switchs not working. Returned,7 November 2018
I like to use this product it takes very less time to cook food,7 November 2018
No,7 November 2018
Good,7 November 2018
It's a good product in good price.,7 November 2018
very good product,6 November 2018
Ok,6 November 2018
Superb.,6 November 2018
V good,6 November 2018
Excellent product,6 November 2018
Its amazing in performance,6 November 2018
Good,6 November 2018
Light weightVery durable,6 November 2018
Good product in this range,6 November 2018
Gud product,6 November 2018
Nice,6 November 2018
I am impressed,6 November 2018
Really a great product,6 November 2018
Good product in reasonable price,6 November 2018
"Its been 7-8 months that I purchased the product, now it has stopped working.",6 November 2018
Good product,6 November 2018
Good,6 November 2018
"It is working properly and is of very good quality , loving it",6 November 2018
Poor quality and looks pale.,6 November 2018
No issues till date and works like charm,6 November 2018
Works well,6 November 2018
Nice,6 November 2018
Good,6 November 2018
Easy to use,6 November 2018
This is good,6 November 2018
Good product,6 November 2018
Nice,6 November 2018
In love with this product and recommend to everyone,5 November 2018
"Its kinda lightweight and easy to use. Have been using it for the last several months and i can say its a good induction stove which you can easily use, just plug in and start cooking.",5 November 2018
"Nice,light weight,easy to use and good looking,I am very happy to buy it. Value for money product. Nice packing. Nice",5 November 2018
Product received in damaged condition,5 November 2018
In 2 month my product became damage,5 November 2018
Un packed product feels like it is opened multiple time before dilivered,5 November 2018
I like your product,5 November 2018
Ok product at this price.,5 November 2018
"Induction not working, it doesn't any temperature reading on display.  And I return that product",5 November 2018
"excellent product using from above one year working perfectly, no issues",5 November 2018
It has different mode for slow to fast cooking easy to use and clean I am using from last 6 months no problem at all,5 November 2018
It works very first.I am enjoying with this at time of cooking.Hurry buy it first then think...,5 November 2018
good and useful product,5 November 2018
Perfect in all aspects!!!,4 November 2018
Quality problem,4 November 2018
Damaged product,4 November 2018
Product is broken,4 November 2018
Good,4 November 2018
Good,4 November 2018
Very usrful,4 November 2018
Good product at best price.Happy to use it.,3 November 2018
After use it gives a burnt smell from the stove. Is it normal? And the material is plastic made.,3 November 2018
Nice product,3 November 2018
This is very good quality product.,3 November 2018
nice product,2 November 2018
Good,2 November 2018
"+ The brand+ Lightweight and comparatively smaller+ Best for less and small cooking- Push Buttons, later the button seal will break and particles go inside and lead to fault of electronics- Not strong enough to bear heavy weight- 1200 is really slow if you want to boil 3 liters of water for cooking rice",2 November 2018
Hello hassle free cooking,2 November 2018
Good,2 November 2018
Overall good. Suggesting you all to buy,2 November 2018
"Nice product, very useful for bachelor... satisfied , but the cable is very short, slightly disappointed .",2 November 2018
Good but some time not working properly,2 November 2018
Very good product,2 November 2018
DURABLE,2 November 2018
Not good product..,2 November 2018
It's light in weight.easy to use. Price is reasonable too. Overall good product,1 November 2018
Good,1 November 2018
Very soft plastic use and not very strong.,1 November 2018
Worth for Price,1 November 2018
Wow ... received a nice looking and user friendly induction oven....,1 November 2018
Nice and supebbbb,1 November 2018
It is light wieght but its working is good. Making food is triple time faster than normal lpg stove.,1 November 2018
Very good product.... Good delivery....,1 November 2018
"Light weight, easy to use",1 November 2018
My induction is not working within one month... now I have to roam service centre ....,1 November 2018
Satisfied..,1 November 2018
Ease of use good performance light in weight,31 October 2018
Easy to cook,31 October 2018
Designed improved,31 October 2018
Nice product,31 October 2018
Working Smoothly.,31 October 2018
"It is very useful and money worthy product.  less electrical consumption For minimum people like 2 to 3 persons,it is more useful to cook easily",31 October 2018
good,31 October 2018
Best & Economical Induction Cook-top.,31 October 2018
Paisa vasul product. Tnx preistage group,31 October 2018
Value for money,31 October 2018
It is a waste products .when I got it was not working .I retured it .,31 October 2018
Packing is nice.,31 October 2018
Nothing,31 October 2018
Nice,31 October 2018
Easy to use,31 October 2018
WORST PRODUCT DONT BUY IT,30 October 2018
Yes well super,30 October 2018
Nice product...,30 October 2018
It's very good,30 October 2018
Within one month it stop working,30 October 2018
Nice product,30 October 2018
Nice product for Office or bacholer,30 October 2018
"This prestige induction is an excellent product.Durable,easy to use for a layman and very light weight.",30 October 2018
Good product,30 October 2018
Poor,30 October 2018
Its good and light weight,30 October 2018
Durability.,30 October 2018
Ok,30 October 2018
Nice product,30 October 2018
"Too early to talk about its durability. Not worse than the one which I used before. Useful and handy. Need to wait for at least an year for its worth.Cons: No time display (except for timer) |  Once you switch on the board switch, it blinks for few seconds. Only when the blinking of LED stops, you can switch on the power button.",29 October 2018
It's not working after 1 monthNo proper customer services,29 October 2018
"Very good product, lovely",29 October 2018
It's a great product,29 October 2018
Good product and good packing totally packed with safety basic.And also iteam is good. After order my product I get 10%cash back during 12 hours.,29 October 2018
"It's light in weight, easy to operate and it's functioning properly",29 October 2018
"Only thing I dislike is that it’s price went nearly 200/- below the price at what I bought and that was also sale price! What price is now - Double sale?! Overall it’s a nice appliance, light weight and heats/cooks in a reasonable speed(sometimes faster than LPG). Nonetheless not comparable to gas cooking when you need very very low temperature like “melting butter”, etc. Even lowest setting can burn your butter before fully melting it.",29 October 2018
Awesome!!,29 October 2018
Cooks everything easily and also easy to use. Go for it,29 October 2018
Good product.,29 October 2018
Good product.. proved the name prestige,29 October 2018
Good,29 October 2018
Good one,29 October 2018
This product is very easy to use,29 October 2018
Real good product easy to use,28 October 2018
good one but little costly,28 October 2018
Excellent product for normal use.,27 October 2018
"It is very wasy to use, light weight and durable jyst got impressed with the product",27 October 2018
Easy to use good product,27 October 2018
Definitely worth the money.,27 October 2018
Opt for it,27 October 2018
Good,27 October 2018
costly,27 October 2018
Very best product,27 October 2018
Good,27 October 2018
The product is good,27 October 2018
Good for hostellers,27 October 2018
Very feasible to use,27 October 2018
It is very light weight.,27 October 2018
👌🏻,27 October 2018
Awesome,26 October 2018
Good.,26 October 2018
After 6manth not work,26 October 2018
Very niceproduct,26 October 2018
Nice Product.,26 October 2018
Good product,26 October 2018
sleek and good size and style,25 October 2018
Overall this is a good product. I've been using it for a year now. Good for hostel use. Though  buttons can be improved a little bit.,25 October 2018
It is very easy to use and light weight and just excellent,25 October 2018
Good,25 October 2018
Using it since 3 months..Veey light weight and good quality.,25 October 2018
Not bad,25 October 2018
Good,25 October 2018
verry nice product,24 October 2018
good product,24 October 2018
Very good product with respect to price.I am very happy with it.,24 October 2018
Product was good. I used the same over 1.5years. No problem a raised till now.,24 October 2018
It is the best product in reasonable price... I am satisfied with it,24 October 2018
Best product in cheap priceI m using it from 3 monthWorking good with a decent sound,24 October 2018
Nice one,23 October 2018
"Guys,Horrible experience in terms of branded electric appliance. How could a brand like Prestige would manufacture such low quality product? I used it only five times in three months and then one day it doesn't work. What the hell! I feel it's better to buy some not so famous brand items rather checking out brands. This product sucks. My money, time everything wasted. Feeling so disappointed right now.",23 October 2018
All good,23 October 2018
Good product.. Working as expected.,23 October 2018
Good,23 October 2018
"I tried to plug this into 4 separate heater plugs in the house. The electric breaker went off, turning off lights in the house, each time. Obviously, this unit was severely damaged. I returned it.",23 October 2018
Got it for my momShe loved it,23 October 2018
"Function is awesome,Very Nice Product,",23 October 2018
Easy to use value of money,23 October 2018
"i am recommitted it to every one ,very good product,No issue with this",23 October 2018
Very handy and fast,23 October 2018
It's nice,23 October 2018
Good product  and easy to use,23 October 2018
Good,23 October 2018
Worth of money and ofter  service,22 October 2018
Nice product,22 October 2018
Nicely,22 October 2018
"Gives huge convenience, easy to use. Milk option ensures that milk doesn't overflow.",21 October 2018
Touch feel of operating buttons isn't good..,21 October 2018
It's good and very portable because of its light weight.,20 October 2018
Good product and light one which is easy to shift.,20 October 2018
Product is not up to the markCheap plastic,20 October 2018
Just go for it,19 October 2018
Best quality,18 October 2018
It works,18 October 2018
Overall product was OK as per price,18 October 2018
A nice product in all manner,17 October 2018
Great product,16 October 2018
I can only say a word for this product.....just awesome....I am a student and its just an excellent product...1200w is enough for me.....thank you amazon for fast delivery and the awesome product.,15 October 2018
Dedicate product resaved,15 October 2018
It's easy to use and a very good product by prestige!,15 October 2018
Good product,15 October 2018
Thanks amozan to provide this,14 October 2018
Good,14 October 2018
Good,13 October 2018
Wonor full,13 October 2018
Awesome superb,13 October 2018
So easy to use and light weight,12 October 2018
"I'm using still 6mnths...no issues till now... Quality wise,no issues.",12 October 2018
"Since, I am using it from 3 months, I use it for boiling milk and cooking maggie and soups. It's working well. I don't think its suitable for heavy cooking.",11 October 2018
1star is deducted due to the low quality lower part material which does not feel solid when hold. It looks very soft.Working is absolutely fine. No complaint in its working,11 October 2018
"Product quality is average, but too lite weight...",11 October 2018
Good,10 October 2018
I m so much,10 October 2018
Using since March 2017,9 October 2018
"Stopped working after 1 month, talked to service centre, not satisfied",8 October 2018
Good and handy,8 October 2018
Does not switch on. Very disappointed.,8 October 2018
Worth to buy,8 October 2018
Fantastic,7 October 2018
Nice product...easy to use and good for single person...,7 October 2018
Good,6 October 2018
Goooood,6 October 2018
Over all ok.... But less durability...,6 October 2018
Good,6 October 2018
working fine,5 October 2018
Like,5 October 2018
It is showing error,4 October 2018
nice one,4 October 2018
Nice,4 October 2018
Good,3 October 2018
Good product,3 October 2018
Very fast cookfood,2 October 2018
Good product,1 October 2018
At this price its one of the best..,1 October 2018
IT'S A BEST AND BEST PRODUCT I EVER USED,1 October 2018
Good,1 October 2018
It was a good product and easy to use.,30 September 2018
Just buy it,30 September 2018
Is very good cook king product,29 September 2018
in one word very useful product for hostel students,29 September 2018
I am using this prdct and it is reliable .,29 September 2018
I bought pigeon's induction cooker for the same money and it has more functions than this.. This one is for beginners.... just click and cook ... nothing to adjust!,28 September 2018
"Very light weight & easy to use, but wire is not too big..",28 September 2018
Easy to use and light weight,27 September 2018
Fit for money,27 September 2018
Very good product,26 September 2018
Nice,24 September 2018
"Easy to use, light weight",24 September 2018
This product is good and working fine since last two months,24 September 2018
Good quality product,24 September 2018
Waste this item,23 September 2018
The machine is very prone for short circuiting of the IC. Since i bought it i have 5 times IC failures which has caused power down of my house. Though it is easy and good in use but its not reliable product and irritates with such frequent issues.,23 September 2018
got a defective piece.. the mesh behind the induction was broken.. although product was good..,22 September 2018
Great delivery speed. Got within 1 day. working flawlessly.,22 September 2018
Good,22 September 2018
Good product,22 September 2018
Very good product,22 September 2018
Defective product..,22 September 2018
Good,21 September 2018
"Induction is very nice with lots of features in it  , firstly make some sharp sound but after some time of  usage it provide it's original sound and safely delivered from Amazon.....",21 September 2018
very good product,20 September 2018
After one year it’s working fineNo problems faced at all,20 September 2018
"Very good product... After 1.5 year, it has no problem....",20 September 2018
Waste,19 September 2018
Good,19 September 2018
Not good chalda he nahi hun,17 September 2018
It cooks faster. It's maintenance is easy. Thanks Amazon .,17 September 2018
Nice,17 September 2018
"Too good, worth spending",17 September 2018
Good,17 September 2018
Poor built material and design.Slides everyone u press a button.Scratched easily by utensils used.,16 September 2018
Didn't worked properly even for 1 month!Disappointed,16 September 2018
I purchased this cook top around 8 months back.The outer body is cracked from all the sides.,15 September 2018
Good,15 September 2018
It's stopped working in 2 months only . Sensor is not able to detect the utensils ..,15 September 2018
"We opened and started using the product after the ""return period was closed"" so its our oversight in that sense. But when we did start using it, the product doesn't seem to work at all.",15 September 2018
I've been using it for about a year still it's working fine. Quality product,14 September 2018
"We have ordered Prestige Induction Plate on 27th July 2018, Order Number 17151722342608350, we have received a faulty product we want to replace the same.Thanks and regardsDeepak Gawde+91 8169011408",14 September 2018
Nice,13 September 2018
Easy to handle,12 September 2018
"Even if water falls over it,it works smoothly..till now no problem after using a month.",11 September 2018
Good product,10 September 2018
Ok,10 September 2018
Over all good,10 September 2018
Initially I was a bit sceptical seeing the reviews. But went ahead and booked this item. Not regretted for one moment. Nice product. It's been only a couple of months so cannot comment on durability. But overall I am giving 5 stars.,9 September 2018
"Nice product , using since last two years",9 September 2018
Very bad durability !!! Stopped working within six months,9 September 2018
Like this product...,8 September 2018
Working well..,8 September 2018
Product is nice,8 September 2018
Good,8 September 2018
Highly recommended,7 September 2018
Excellent product recommend it.,7 September 2018
It's not workin properly...in just 10 months it went frm great to waste...,6 September 2018
Have been using this purchase for a couple of months now.Good quality.,6 September 2018
Not cooking fast,5 September 2018
Easy to use,5 September 2018
Gud n perfectly working,5 September 2018
Simple super,3 September 2018
Good product,3 September 2018
Overall happy about this product.Very light weight and easy operational function. All basic cooking things can be carried out in a much easier way. Trust and go for it blindly. No hectic stuffs and all !!!,3 September 2018
Good to buy,3 September 2018
Good product at competitive price,2 September 2018
Waste of Money. Send it for repair after using 7 days. Very cheap quality.,2 September 2018
"Damaged product, it produced same results even after exchange",2 September 2018
Heats up quickly. Safe to use.,1 September 2018
it is not a good product in this product current is coming,1 September 2018
Worst product,1 September 2018
"Bad product,  power button not working",31 August 2018
Product is faulty....just worked for a week and then broke down completely...want a replacement urgently,31 August 2018
Ok,30 August 2018
Great product,30 August 2018
"Gud product from prestige, thanx amazon",29 August 2018
it is very lightweight and easy to use.  boiling at 60 degree is quick as compared to other,28 August 2018
Good product,28 August 2018
"Defective product delivered.I have used this product only 5 to 6 times and it shows error- E2, which is temperature sensor failure and again suddenly it starts working again.The build quality is not good, not easy to use and not at all reliable. Product may seem as attractive due to its price tag, but this doesn’t work well.My first bad experience with amazon.in.",27 August 2018
This product got failed within 4 months of use.,27 August 2018
I like this product. It's good,27 August 2018
Its very bad product I purchased on 5aug the body is cracked and not functioning properly...I raised acomplaint to prestige care,27 August 2018
"The fan stopped working within 2 months So it works only for 2 minutes and then starts giving overheat error E6, and the repair charges quoted by a local repair shop was 1000rps. Service centres are not near by.  So I dumped it and bought a LPG connection.",26 August 2018
Very Good One,26 August 2018
Overall it is a good product.,25 August 2018
Bad experience. Product is not working,25 August 2018
Heats very quick,25 August 2018
Product is not good as expected.,25 August 2018
Nice one.,24 August 2018
Okay,23 August 2018
Branded useful in kitchen,22 August 2018
I like  this  product,21 August 2018
"Good quality , no extra maintenance needed",21 August 2018
The best product in the segment.,20 August 2018
Good light in weight,20 August 2018
